workload,cycles,cache-misses,instructions,cycle_activity.stalls_total,branch-misses,context-switches,iTLB-load-misses,IpCall,IpLoad,IpMispredict,BpTkBranch,MLP,SPEC_speed_score
500.perlbench_r,514271326276,2173989794,1190993022424,100268080132,2382036838,2637,12534151,97.317,3.58,500.25,2.06,1.36,0.9290912759
500.perlbench_r,521007925696,2201800736,1206846938765,101547350332,2413898651,2656,12687908,97.323,3.58,500.273,2.06,1.36,0.9290912759
500.perlbench_r,527733016544,2229065597,1222621075240,102824930933,2445517707,2676,12837202,97.343,3.58,500.367,2.06,1.36,0.9290912759
500.perlbench_r,534479161590,2257586456,1238318304850,104135409784,2476404298,2689,13004898,97.353,3.58,500.233,2.06,1.36,0.9290912759
500.perlbench_r,541204714919,2284787345,1254288683708,105390673911,2507761425,2695,13161175,97.363,3.58,500.503,2.06,1.36,0.9290912759
500.perlbench_r,547877068406,2306038157,1269137130757,106676742045,2528930425,2715,13630798,97.317,3.58,500.65,2.06,1.36,0.9290912759
500.perlbench_r,554521087490,2307470477,1284713669596,107695492356,2548568056,2732,14085649,96.723,3.57,502.96,2.05,1.357,0.9290912759
500.perlbench_r,561163585486,2308780693,1300248855419,108713651243,2568229968,2824,14543586,96.287,3.57,505.143,2.05,1.353,0.9290912759
500.perlbench_r,567844045875,2310061114,1315748775749,109739142062,2587755923,2917,15005981,95.857,3.56,507.4,2.05,1.353,0.9290912759
500.perlbench_r,574524955818,2311400704,1331204221805,110768054014,2607286968,3012,15459946,95.443,3.56,509.603,2.04,1.353,0.9290912759
500.perlbench_r,581195049630,2319554327,1346689198593,111793367701,2626192058,3119,15914471,95.033,3.55,511.783,2.04,1.353,0.9290912759
500.perlbench_r,587873289517,2337995083,1362580892873,112782572274,2642549233,3224,16424501,94.61,3.55,514.253,2.04,1.353,0.9290912759
500.perlbench_r,594546721013,2339203730,1378730401107,113699411176,2659906270,3319,17018506,94.017,3.54,517.143,2.04,1.353,0.9290912759
500.perlbench_r,601189860969,2341819461,1394473670842,114657075559,2676831882,3342,17615078,93.443,3.54,519.977,2.03,1.353,0.9290912759
500.perlbench_r,607808139775,2343685037,1410192632702,115588823165,2693811098,3349,18205412,92.89,3.53,522.767,2.03,1.347,0.9290912759
500.perlbench_r,614437659368,2345261528,1426006951149,116519167585,2710769423,3365,18833576,92.36,3.53,525.503,2.03,1.343,0.9290912759
500.perlbench_r,621101363782,2345722270,1442151140305,117429083090,2727859595,3383,19461236,91.847,3.52,528.21,2.02,1.343,0.9290912759
500.perlbench_r,627774160662,2346196316,1458336472863,118335534127,2744986042,3401,20084501,91.35,3.52,530.883,2.02,1.343,0.9290912759
500.perlbench_r,634437417412,2346909807,1474534725904,119236425074,2762243833,3421,20688316,90.873,3.51,533.513,2.02,1.343,0.9290912759
500.perlbench_r,641100885925,2347677583,1490680199450,120145903128,2779377595,3438,21287127,90.41,3.51,536.08,2.02,1.343,0.9290912759
500.perlbench_r,647762345357,2348233930,1506815694518,121058533816,2796422148,3454,21880239,89.96,3.51,538.677,2.01,1.343,0.9290912759
500.perlbench_r,654426188424,2348721911,1522904598913,121976527164,2813510720,3473,22477687,89.527,3.5,541.223,2.01,1.34,0.9290912759
500.perlbench_r,661090936795,2349778858,1538662913900,122942829708,2832513867,3492,22948215,89.137,3.5,543.56,2.01,1.337,0.9290912759
500.perlbench_r,667754605756,2350668310,1554277321718,123927496159,2851988196,3514,23379240,88.89,3.49,545.357,2.01,1.337,0.9290912759
